,0
2604,5
2605,5
2606,6
2607,4
2608,5
2609,5
2610,4
2611,5
2612,3
2613,4
2614,5
2615,5
2616,6
2617,5
2618,4
2619,6
2620,3
2621,7
2622,4
2623,4
2624,4
2625,4
2626,6
2627,3
2628,5
2629,7
2630,4
2631,4
2632,5
2633,4
2634,5
2635,7
2636,5
2637,5
2638,4
2639,5
2640,4
2641,5
2642,5
2643,7
2644,5
2645,5
2646,6
2647,4
2648,4
2649,4
2650,4
2651,5
2652,8
2653,4
2654,6
2655,5
2656,4
2657,4
2658,5
2659,6
2660,5
2661,5
2662,4
2663,4
2664,5
2665,5
2666,3
2667,7
2668,5
2669,4
2670,5
2671,4
2672,4
2673,4
2674,4
2675,3
2676,6
2677,6
2678,5
2679,5
2680,5
2681,4
2682,5
2683,4
2684,4
2685,4
2686,4
2687,3
2688,6
2689,5
2690,4
2691,4
2692,4
2693,5
2694,3
2695,4
2696,5
2697,4
2698,5
2699,6
2700,4
2701,6
2702,2
2703,4
2704,7
2705,5
2706,4
2707,4
2708,4
2709,5
2710,4
2711,5
2712,5
2713,6
2714,4
2715,5
2716,5
2717,4
2718,4
2719,5
2720,5
2721,5
2722,5
2723,4
2724,4
2725,4
2726,5
2727,4
2728,5
2729,3
2730,5
2731,5
2732,3
2733,5
2734,4
2735,4
2736,4
2737,5
2738,6
2739,6
2740,6
2741,4
2742,5
2743,4
2744,5
2745,7
2746,6
2747,6
2748,5
2749,5
2750,3
2751,4
2752,6
2753,5
2754,4
2755,5
2756,4
2757,7
2758,5
2759,4
2760,5
2761,3
2762,5
2763,5
2764,5
2765,3
2766,5
2767,3
2768,4
2769,5
2770,3
2771,3
2772,4
2773,7
2774,3
2775,5
2776,6
2777,7
2778,5
2779,3
2780,6
2781,6
2782,5
2783,5
2784,5
2785,7
2786,5
2787,6
2788,8
2789,6
2790,7
2791,5
2792,5
2793,5
2794,5
2795,5
2796,5
2797,5
2798,4
2799,4
2800,4
2801,5
2802,4
2803,5
2804,5
2805,4
2806,5
2807,6
2808,4
2809,5
2810,5
2811,4
2812,5
2813,4
2814,7
2815,5
2816,4
2817,5
2818,5
2819,3
2820,6
2821,4
2822,6
2823,5
2824,8
2825,5
2826,4
2827,3
2828,4
2829,3
2830,3
2831,6
2832,6
2833,5
2834,6
2835,5
2836,5
2837,6
2838,6
2839,6
2840,5
2841,5
2842,4
2843,5
2844,6
2845,8
2846,5
2847,5
2848,4
2849,4
2850,7
2851,4
2852,6
2853,5
2854,4
2855,5
2856,4
2857,5
2858,6
2859,6
2860,4
2861,4
2862,5
2863,4
2864,6
2865,4
2866,4
2867,5
2868,3
2869,5
2870,6
2871,3
2872,4
2873,6
2874,4
2875,7
2876,4
2877,5
2878,5
2879,4
2880,4
2881,4
2882,5
2883,4
2884,5
2885,6
2886,5
2887,4
2888,4
2889,6
2890,5
2891,5
2892,5
2893,5
2894,7
2895,8
2896,6
2897,7
2898,7
2899,5
2900,4
2901,6
2902,5
2903,6
2904,6
2905,8
2906,4
2907,7
2908,4
2909,5
2910,4
2911,5
2912,4
2913,5
2914,3
2915,4
2916,4
2917,4
2918,4
2919,5
2920,5
2921,6
2922,5
2923,6
2924,6
2925,6
2926,6
2927,2
2928,4
2929,4
2930,6
2931,5
2932,6
2933,4
2934,5
2935,6
2936,5
2937,4
2938,5
2939,4
2940,4
